period,window,horizon,tail_prob,var1,var2,corr,n_obs
full_2015,504,63,0.05,p_alpha_gt_2_mean,future_tail_event,-0.1927646784366867,110
full_2015,756,21,0.025,dq_es,alpha_heaviness_inv,0.9822076862960138,100
full_2015,756,21,0.025,dq_es,alpha_median,-0.9573506401027426,100
full_2015,756,21,0.025,dr_es_concentration,alpha_heaviness_inv,0.7265529180578072,100
full_2015,756,21,0.025,dq_es,dr_es_concentration,0.7816056799705926,100
full_2015,756,21,0.025,dq_es,future_tail_event,0.1953570001513528,100
full_2015,756,21,0.025,dr_es_concentration,future_tail_event,0.08644875733806016,100
full_2015,756,21,0.025,alpha_heaviness_inv,future_tail_event,0.2273064013568805,100
full_2015,756,21,0.025,p_alpha_gt_2_mean,future_tail_event,-0.18619426986820942,100
full_2015,756,21,0.05,dq_es,alpha_heaviness_inv,0.9506695315124553,100
full_2015,756,21,0.05,dq_es,alpha_median,-0.9351574119849511,100
full_2015,756,21,0.05,dr_es_concentration,alpha_heaviness_inv,0.6254757239262467,100
full_2015,756,21,0.05,dq_es,dr_es_concentration,0.8054349356200685,100
full_2015,756,21,0.05,dq_es,future_tail_event,0.18344051346327445,100
full_2015,756,21,0.05,dr_es_concentration,future_tail_event,0.05044272018525799,100
full_2015,756,21,0.05,alpha_heaviness_inv,future_tail_event,0.21904094703114718,100
full_2015,756,21,0.05,p_alpha_gt_2_mean,future_tail_event,-0.17889039628134873,100
full_2015,756,63,0.025,dq_es,alpha_heaviness_inv,0.9822672892586152,98
full_2015,756,63,0.025,dq_es,alpha_median,-0.9582230356722051,98
full_2015,756,63,0.025,dr_es_concentration,alpha_heaviness_inv,0.7559762211099477,98
full_2015,756,63,0.025,dq_es,dr_es_concentration,0.8051890902584404,98
full_2015,756,63,0.025,dq_es,future_tail_event,0.356568112890193,98
full_2015,756,63,0.025,dr_es_concentration,future_tail_event,0.1539802036129203,98
full_2015,756,63,0.025,alpha_heaviness_inv,future_tail_event,0.38699921823016165,98
full_2015,756,63,0.025,p_alpha_gt_2_mean,future_tail_event,-0.32806650893652717,98
full_2015,756,63,0.05,dq_es,alpha_heaviness_inv,0.952534270162123,98
full_2015,756,63,0.05,dq_es,alpha_median,-0.9395536480508055,98
full_2015,756,63,0.05,dr_es_concentration,alpha_heaviness_inv,0.6635228096650326,98
full_2015,756,63,0.05,dq_es,dr_es_concentration,0.8293017430245214,98
full_2015,756,63,0.05,dq_es,future_tail_event,0.12678413953284978,98
full_2015,756,63,0.05,dr_es_concentration,future_tail_event,-0.03245792504622148,98
full_2015,756,63,0.05,alpha_heaviness_inv,future_tail_event,0.1459804054878236,98
full_2015,756,63,0.05,p_alpha_gt_2_mean,future_tail_event,-0.11460279284746355,98
full_2015,1008,21,0.025,dq_es,alpha_heaviness_inv,0.9741286758445188,88
full_2015,1008,21,0.025,dq_es,alpha_median,-0.9627325532056766,88
full_2015,1008,21,0.025,dr_es_concentration,alpha_heaviness_inv,0.8833009033688818,88
full_2015,1008,21,0.025,dq_es,dr_es_concentration,0.9365254681219451,88
full_2015,1008,21,0.025,dq_es,future_tail_event,0.08078908114338385,88
full_2015,1008,21,0.025,dr_es_concentration,future_tail_event,0.031093841848391122,88
full_2015,1008,21,0.025,alpha_heaviness_inv,future_tail_event,0.1893344812163564,88
full_2015,1008,21,0.025,p_alpha_gt_2_mean,future_tail_event,-0.12570716173183308,88
full_2015,1008,21,0.05,dq_es,alpha_heaviness_inv,0.9627808951487269,88
full_2015,1008,21,0.05,dq_es,alpha_median,-0.9628447276518879,88
full_2015,1008,21,0.05,dr_es_concentration,alpha_heaviness_inv,0.8310093979071546,88
