market,secid,window,window_start,window_end,n_obs_window,n_tail_positive,tail_side,filter_method,selected_k,selected_k_frac,alpha_consensus,alpha_core_mad,n_core_estimators,theta_runs,theta_clusters,theta_exceedances,mean_return_window,std_return_window,zero_share_window,max_loss_window,alpha_hill,alpha_mom,alpha_gpd,gpd_shape,gpd_scale,gpd_ks,alpha_pickands,alpha_trimmed_hill,alpha_rank_half,boot_n,alpha_ci_low,alpha_ci_high,alpha_boot_mean,alpha_boot_std,p_alpha_lt_1,p_alpha_gt_2,adaptive_score,adaptive_grid_k_min,adaptive_grid_k_max,adaptive_grid_n,adaptive_alpha_grid_median,adaptive_alpha_grid_iqr,tail_group
bonds,SU29008RMFS8,504,2019-03-01,2021-03-03,504,214,lower,raw,31,0.14485981308411214,4.582986711239918,2.6842236166436804,3,0.6774193548387096,21,31,0.00023702773704058384,0.003056919061841324,0.0,0.0167629932946844,1.8987630945962373,4.582986711239918,9.360719706954821,0.10682939253666796,0.0028643586945366816,0.06383654124759577,,2.024714605523241,2.2296060089629792,78,2.3365990840771134,31.396124821059253,7.600663020186368,10.876753233309506,0.0,1.0,0.9147442175584107,10,32,23,5.655951576704081,1.550675329235374,strict_alpha_gt_2
bonds,SU29008RMFS8,504,2019-04-02,2021-04-02,504,218,lower,raw,31,0.14220183486238533,4.224953270628465,2.365037287295557,3,0.6774193548387096,21,31,0.00022439284343512043,0.003022610965388176,0.0,0.0167629932946844,1.8599159833329075,4.224953270628465,8.262313256148843,0.12103147980449622,0.00283965389328477,0.07148262856781967,,1.9827847384409443,2.172785168035973,82,2.209574510347922,9.893255925219583,5.563161496869155,6.293391854105962,0.0,0.975609756097561,0.7970688397230256,10,32,23,5.073763369265853,1.5482456955140087,strict_alpha_gt_2
bonds,SU29008RMFS8,504,2019-05-02,2021-05-04,504,219,lower,raw,31,0.1415525114155251,4.509174268493287,2.7326380211675514,3,0.6451612903225806,20,31,0.00020961701979580887,0.0030124646373229365,0.0,0.0167629932946844,1.7765362473257356,4.509174268493287,11.802800351591436,0.08472565579448817,0.0030512775885600113,0.07809687819849737,23.993445591881745,1.8884662053182886,2.120203220149607,74,2.1354707222008593,34.53106681325145,7.221610927346555,10.787993208779731,0.0,0.972972972972973,0.8730773996219539,10,32,23,4.98358756724935,2.8709215070691982,strict_alpha_gt_2
bonds,SU29008RMFS8,504,2019-06-03,2021-06-02,504,221,lower,raw,32,0.14479638009049775,2.789974310426292,0.9055050410385257,3,0.5625,18,32,0.00021239227491387066,0.00296267977086386,0.0,0.0167629932946844,1.8528456613469562,2.789974310426292,3.695479351464818,0.2706008895986982,0.0023571774412957038,0.1175268134540324,,1.978590871147873,1.992585082607818,92,2.056761609507671,5.405811666551622,3.7155957248843694,3.7992558960780944,0.0,0.9565217391304348,0.5276167233139403,10,33,24,4.01556085390275,2.392972434002391,strict_alpha_gt_2
bonds,SU29008RMFS8,504,2019-07-03,2021-07-01,504,226,lower,raw,32,0.1415929203539823,2.6033912740191987,0.3069351794178732,3,0.5625,18,32,0.00019678754696174973,0.0028886278325398864,0.0,0.0167629932946844,1.9196172425306803,2.6033912740191987,2.910326453437072,0.3436040650419159,0.0020577714468903606,0.10789029536089045,,2.0594730066282287,2.0045464290753294,90,1.9020147803609397,10.107957901132568,4.272720417139325,4.523587013525296,0.0,0.8777777777777778,0.2254805745807866,10,33,24,4.054978656367004,1.9622405179838913,point_alpha_gt_2_uncertain
bonds,SU29008RMFS8,504,2019-08-01,2021-07-30,504,223,lower,raw,32,0.14349775784753363,2.572677549033616,0.31841238092935065,3,0.53125,17,32,0.00017885231702148904,0.002841473244186085,0.0,0.0167629932946844,1.8943829145638864,2.572677549033616,2.8910899299629667,0.3458903127281169,0.0020682728424111924,0.09584175209636608,3.472943518033131,2.0312223706798043,1.9795998935810772,91,1.9027912712688044,7.717821484289798,4.580938694418504,6.177291162360106,0.0,0.9120879120879121,0.23378859804260935,10,33,24,4.185934713032291,2.972281022862415,point_alpha_gt_2_uncertain
bonds,SU29008RMFS8,504,2019-08-30,2021-08-30,504,221,lower,raw,29,0.13122171945701358,2.485795742255384,0.4396661535503781,3,0.5172413793103449,15,29,0.00018593582918583507,0.0027880004925248626,0.0,0.0167629932946844,1.8053293058223947,2.485795742255384,2.925461895805762,0.3418263630210673,0.0022283726080441846,0.14234537131223196,4.607538060285897,1.940405282214578,1.8810444218078752,93,1.9513811032462733,12.005866287352031,4.914361340803916,6.381076354143541,0.0,0.9354838709677419,0.3567926042108534,10,33,24,3.2858713938925956,2.77244476064957,point_alpha_gt_2_uncertain
bonds,SU29008RMFS8,504,2019-09-30,2021-09-28,504,222,lower,raw,26,0.11711711711711711,2.601244168843927,0.9979104913726173,3,0.5384615384615384,14,26,0.00016132490741001677,0.0026922467995886376,0.0,0.0167629932946844,1.6033336774713098,2.601244168843927,4.364781921418957,0.22910652078464155,0.002795043966437619,0.15174026812593855,3.389485788516138,1.7214297771732296,1.7516254935507964,79,1.7790097495063228,18.862669428069715,4.69795192914147,5.567582448697973,0.0,0.7848101265822784,0.6263491648358968,10,33,24,2.5760580865877465,0.5983641043120174,point_alpha_gt_2_uncertain
bonds,SU29008RMFS8,504,2019-10-29,2021-10-27,504,219,lower,raw,31,0.1415525114155251,2.5353462866399052,1.1053932154472972,3,0.4838709677419355,15,31,0.00013491408022914557,0.0026144490764102735,0.0,0.0167629932946844,1.429953071192608,2.5353462866399052,4.322684221766078,0.23133774032456145,0.002711034713858981,0.13209646690091836,10.477417149966424,1.5167024428107645,1.6505916942025987,92,1.5653826188816033,3.955976679720779,2.471519773051614,0.8275939211947172,0.0,0.7282608695652174,0.6583377143384657,10,32,23,2.6061185129794957,0.9762997949328764,point_alpha_gt_2_uncertain
bonds,SU29008RMFS8,504,2019-11-28,2021-11-26,504,219,lower,raw,31,0.1415525114155251,2.5353462866399052,1.1053932154472972,3,0.4838709677419355,15,31,0.00012351235523024186,0.0026104985869880356,0.0,0.0167629932946844,1.429953071192608,2.5353462866399052,4.322684221766078,0.23133774032456145,0.002711034713858981,0.13209646690091836,9.686841548805969,1.5167024428107645,1.6505916942025987,96,1.6278304099040084,5.351734150232131,3.231623722406877,5.4858805063606555,0.0,0.6354166666666666,0.6583377143384657,10,32,23,2.6061185129794957,0.9762997949328764,point_alpha_gt_2_uncertain
bonds,SU29008RMFS8,504,2019-12-27,2021-12-27,504,213,lower,raw,29,0.13615023474178403,2.72110285614273,1.2891234968572145,3,0.4827586206896552,14,29,0.00012699075252665745,0.002594884253598218,0.001984126984126984,0.0167629932946844,1.4319793592855157,2.72110285614273,5.441680172185393,0.18376677209208298,0.0029504298556823497,0.13768515607937828,6.078510850887536,1.5218787639723508,1.6700537386865855,93,1.6477475038722809,5.330532692338072,3.251344590240277,5.100043156791884,0.0,0.7956989247311828,0.6850348038913279,10,31,22,2.67269220043627,1.1119692853708476,point_alpha_gt_2_uncertain
bonds,SU29008RMFS8,504,2020-01-31,2022-01-26,504,217,lower,raw,30,0.1382488479262673,2.291465132265926,0.7137732600501003,3,0.4666666666666667,14,30,9.904026910774078e-05,0.0025927660987085195,0.001984126984126984,0.0167629932946844,1.5661352139227152,2.291465132265926,3.005238392316026,0.3327523042953464,0.0023552366408931703,0.11595243444055664,3.309600424440048,1.671659094365093,1.686810769108299,95,1.5846380662014068,7.110845816059959,3.2535233218852597,3.395239648678953,0.0,0.6947368421052632,0.45918375954609086,10,32,23,2.8466800562993866,1.6457672994321775,point_alpha_gt_2_uncertain
bonds,SU29008RMFS8,504,2020-03-03,2022-02-24,504,225,lower,raw,32,0.14222222222222222,1.4113859122508405,0.017742449839668772,3,0.4375,14,32,-9.930403449130805e-05,0.004252462348213795,0.001984126984126984,0.0759501103863376,1.4113859122508405,1.4291283620905093,1.3671590637772921,0.731443784775945,0.0019045199802082647,0.0851079316429133,3.564996141281038,1.601699034840623,1.3353547081335504,99,1.1622779461144184,3.9788142899664822,2.092102599147228,1.62093695038263,0.0,0.35353535353535354,0.06843631145772677,10,33,24,1.500586767550388,0.10627463234468792,point_alpha_1_2_uncertain
bonds,SU29008RMFS8,504,2020-04-02,2022-03-29,504,220,lower,raw,30,0.13636363636363635,1.4274169214790673,0.018001156372115634,3,0.4666666666666667,14,30,9.077633755649384e-06,0.004431673136809102,0.001984126984126984,0.0759501103863376,1.5107217484086322,1.4274169214790673,1.4094157651069517,0.7095138459190686,0.0016572569924012681,0.0864929275629609,14.26660531573387,1.7582387565048054,1.3420764173876396,100,1.0503841127531088,4.691849627862375,2.2030667872394805,1.3720477595282614,0.04,0.39,0.06881553501422215,10,33,24,1.4447466093840056,0.0321063051214876,point_alpha_1_2_uncertain
bonds,SU29008RMFS8,504,2020-05-04,2022-04-27,504,217,lower,raw,27,0.12442396313364056,1.3305054269141454,0.007788042599317091,3,0.5925925925925926,16,27,0.00012647229774295318,0.004781233480129123,0.001984126984126984,0.0759501103863376,1.3227173843148283,1.363210804984207,1.3305054269141454,0.7515940782889627,0.0020298260434116473,0.10426939545313738,9.384165722123187,1.5235240802490206,1.257703321504097,96,1.0591226593571514,3.6911816127621724,1.8636730462796243,1.305445047785727,0.020833333333333332,0.22916666666666666,0.06093592557446589,10,32,23,1.4112677003777852,0.1113642294872832,point_alpha_1_2_uncertain
bonds,SU29008RMFS8,504,2020-06-03,2022-06-01,504,212,lower,raw,29,0.13679245283018868,1.403110821728708,0.03606419841921338,3,0.5172413793103449,15,29,0.00016666262876208494,0.004830682423989258,0.001984126984126984,0.0759501103863376,1.338876457428537,1.403110821728708,1.4391750201479214,0.6948425215838014,0.0020656024997411484,0.08988358146745534,,1.530416561215174,1.292339005943991,97,1.0786518333270303,5.079957159782615,2.133601839277685,1.7068341587474876,0.020618556701030927,0.31958762886597936,0.07923911596481538,10,31,22,1.4321617212986175,0.06516009130147848,point_alpha_1_2_uncertain
