secid,market,chosen_boardid,n_boards,all_boards,chosen_board_nobs,max_board_nobs
RU000A102HU3,bonds,TQCB,1,TQCB,1374,1374
RU000A102JB9,bonds,TQCB,1,TQCB,1372,1372
RU000A102K13,bonds,TQCB,1,TQCB,1248,1248
RU000A102K39,bonds,TQCB,1,TQCB,1371,1371
RU000A102K88,bonds,TQCB,1,TQCB,1369,1369
RU000A102KN2,bonds,TQCB,1,TQCB,1369,1369
RU000A102L87,bonds,TQCB,1,TQCB,1205,1205
RU000A102LF6,bonds,TQCB,1,TQCB,1367,1367
RU000A102LU5,bonds,TQCB,1,TQCB,122,122
RU000A102MB3,bonds,TQCB,1,TQCB,1320,1320
RU000A102QJ7,bonds,TQCB,1,TQCB,1172,1172
RU000A1034H4,bonds,TQCB,1,TQCB,638,638
RU000A102QL3,bonds,TQCB,1,TQCB,1172,1172
RU000A102QM1,bonds,TQCB,1,TQCB,463,463
RU000A102QN9,bonds,TQCB,1,TQCB,60,60
RU000A102QP4,bonds,TQCB,1,TQCB,1339,1339
RU000A102S72,bonds,TQCB,1,TQCB,880,880
RU000A102SM7,bonds,TQCB,1,TQCB,200,200
RU000A102SX4,bonds,TQCB,1,TQCB,1324,1324
RU000A102TK9,bonds,TQCB,1,TQCB,1321,1321
RU000A102VR0,bonds,TQCB,1,TQCB,1310,1310
RU000A103125,bonds,TQCB,1,TQCB,1287,1287
RU000A103166,bonds,TQCB,1,TQCB,908,908
RU000A103174,bonds,TQCB,1,TQCB,1121,1121
RU000A1031K4,bonds,TQCB,1,TQCB,1284,1284
RU000A1031U3,bonds,TQCB,1,TQCB,1284,1284
RU000A1032P1,bonds,TQCB,1,TQCB,1253,1253
RU000A103372,bonds,TQCB,1,TQCB,1274,1274
RU000A1033B9,bonds,TQCB,1,TQCB,1271,1271
RU000A1033Z8,bonds,TQCB,1,TQCB,1263,1263
RU000A1034K8,bonds,TQCB,1,TQCB,1063,1063
RU000A1034P7,bonds,TQCB,1,TQCB,1022,1022
RU000A103U02,bonds,TQCB,1,TQCB,1139,1139
RU000A1034Q5,bonds,TQCB,1,TQCB,1022,1022
RU000A1035H1,bonds,TQCB,1,TQCB,1261,1261
RU000A1035Y6,bonds,TQCB,1,TQCB,1253,1253
RU000A103604,bonds,TQCB,1,TQCB,1260,1260
RU000A103661,bonds,TQCB,1,TQCB,1246,1246
RU000A103U28,bonds,TQCB,1,TQCB,1095,1095
RU000A1036S6,bonds,TQCB,1,TQCB,1126,1126
RU000A103760,bonds,TQCB,1,TQCB,1256,1256
RU000A1037P0,bonds,TQOD,1,TQOD,1164,1164
RU000A1038D4,bonds,TQCB,1,TQCB,1252,1252
RU000A1038M5,bonds,TQCB,1,TQCB,1249,1249
RU000A1038U8,bonds,TQCB,1,TQCB,226,226
RU000A103943,bonds,TQCB,1,TQCB,1248,1248
RU000A1039A8,bonds,TQCB,1,TQCB,1242,1242
RU000A103AT8,bonds,TQCB,1,TQCB,1242,1242
RU000A103C53,bonds,TQCB,1,TQCB,1237,1237
RU000A103C95,bonds,TQCB,1,TQCB,1236,1236
RU000A103DN5,bonds,TQCB,1,TQCB,1230,1230
RU000A103DS4,bonds,TQCB,1,TQCB,1230,1230
RU000A103DT2,bonds,TQCB,1,TQCB,1229,1229
RU000A103DY2,bonds,TQCB,1,TQCB,363,363
RU000A103EZ7,bonds,TQCB,1,TQCB,1222,1222
RU000A103FC3,bonds,TQCB,1,TQCB,1222,1222
RU000A103FY7,bonds,TQCB,1,TQCB,1218,1218
RU000A103G00,bonds,TQCB,1,TQCB,1219,1219
RU000A103G42,bonds,TQCB,1,TQCB,1212,1212
RU000A103K38,bonds,TQCB,1,TQCB,1128,1128
RU000A103KJ8,bonds,TQCB,1,TQCB,1202,1202
RU000A103M36,bonds,TQCB,1,TQCB,1196,1196
RU000A103N43,bonds,TQCB,1,TQCB,1190,1190
RU000A103N84,bonds,TQCB,1,TQCB,1188,1188
RU000A103NE3,bonds,TQCB,1,TQCB,1188,1188
RU000A103NU9,bonds,TQCB,1,TQCB,1184,1184
RU000A103PC2,bonds,TQCB,1,TQCB,1185,1185
RU000A103PX8,bonds,TQCB,1,TQCB,1182,1182
RU000A103Q24,bonds,TQCB,1,TQCB,962,962
RU000A103QH9,bonds,TQCB,1,TQCB,1180,1180
RU000A103QK3,bonds,TQCB,1,TQCB,1180,1180
RU000A103QL1,bonds,TQCB,1,TQCB,1179,1179
RU000A103QN7,bonds,TQCB,1,TQCB,1175,1175
RU000A103QQ0,bonds,TQCB,1,TQCB,1179,1179
RU000A103RL9,bonds,TQCB,1,TQCB,1177,1177
RU000A103S30,bonds,TQCB,1,TQCB,736,736
RU000A103S89,bonds,TQCB,1,TQCB,929,929
RU000A103S97,bonds,TQCB,1,TQCB,942,942
RU000A103SA0,bonds,TQCB,1,TQCB,934,934
RU000A103SB8,bonds,TQCB,1,TQCB,966,966
RU000A103SC6,bonds,TQCB,1,TQCB,961,961
RU000A103TY8,bonds,TQCB,1,TQCB,732,732
RU000A103T70,bonds,TQCB,1,TQCB,544,544
RU000A103T96,bonds,TQCB,1,TQCB,544,544
RU000A103TA8,bonds,TQCB,1,TQCB,544,544
RU000A103TC4,bonds,TQCB,1,TQCB,544,544
RU000A103TS0,bonds,TQCB,1,TQCB,1171,1171
RU000A103TW2,bonds,TQCB,1,TQCB,753,753
RU000A103TX0,bonds,TQCB,1,TQCB,755,755
RU000A103TZ5,bonds,TQCB,1,TQCB,711,711
RU000A103U10,bonds,TQCB,1,TQCB,1108,1108
RU000A103U36,bonds,TQCB,1,TQCB,582,582
RU000A103U44,bonds,TQCB,1,TQCB,1075,1075
RU000A103U51,bonds,TQCB,1,TQCB,679,679
RU000A103U69,bonds,TQCB,1,TQCB,1170,1170
RU000A103UL3,bonds,TQCB,1,TQCB,1166,1166
RU000A103VD8,bonds,TQCB,1,TQCB,949,949
RU000A103WB0,bonds,TQCB,1,TQCB,1160,1160
RU000A103XS2,bonds,TQCB,1,TQCB,559,559
RU000A103XT0,bonds,TQCB,1,TQCB,604,604
RU000A103YG5,bonds,TQCB,1,TQCB,1136,1136
RU000A103YK7,bonds,TQCB,1,TQCB,1136,1136
RU000A1040E8,bonds,TQCB,1,TQCB,549,549
RU000A1040S8,bonds,TQCB,1,TQCB,1141,1141
RU000A1041B2,bonds,TQCB,1,TQCB,1140,1140
RU000A1041Q0,bonds,TQCB,1,TQCB,1139,1139
RU000A1042W6,bonds,TQCB,1,TQCB,1136,1136
RU000A104362,bonds,TQCB,1,TQCB,1136,1136
