market,period,window,horizon,tail_prob,spec_name,dependent,spec,n_obs,r2,adj_r2,aic,bic,param,coef,std_err_hac,t_hac,pvalue_hac
shares,baseline_2018,504,63,0.025,risk_controls,future_es,current_es+current_rv_ann+current_hill_alpha+n_assets,74,0.024402929927074046,-0.017408373076051475,-257.7777740390621,-248.5615136662454,current_es,-0.831377016895368,2.7007690365642922,-0.30782973502724287,0.7582118942375401
shares,baseline_2018,504,63,0.025,risk_controls,future_es,current_es+current_rv_ann+current_hill_alpha+n_assets,74,0.024402929927074046,-0.017408373076051475,-257.7777740390621,-248.5615136662454,current_rv_ann,0.09461582606418038,0.5775197159888454,0.16383133500849667,0.8698639231867511
shares,baseline_2018,504,63,0.025,risk_controls,future_es,current_es+current_rv_ann+current_hill_alpha+n_assets,74,0.024402929927074046,-0.017408373076051475,-257.7777740390621,-248.5615136662454,current_hill_alpha,-0.003942672134366439,0.005047490758099319,-0.781115275553489,0.43473469834793066
shares,baseline_2018,504,63,0.025,risk_controls,future_es,current_es+current_rv_ann+current_hill_alpha+n_assets,74,0.024402929927074046,-0.017408373076051475,-257.7777740390621,-248.5615136662454,n_assets,0.0008682909581819736,0.0003081277322765292,2.8179578377019503,0.004833015579625557
shares,baseline_2018,504,63,0.025,full,future_es,dq_es+dr_es_concentration+current_es+current_rv_ann+current_hill_alpha+n_assets+regime_covid+regime_2022_2023+regime_post_2024+near_2022_trade_break,74,0.24405403020229588,0.1377491281994937,-264.65367613313344,-241.61302520109174,const,1.7099743418447757e-05,8.921282654659808e-06,1.916735976246211,0.05527148230092713
shares,baseline_2018,504,63,0.025,full,future_es,dq_es+dr_es_concentration+current_es+current_rv_ann+current_hill_alpha+n_assets+regime_covid+regime_2022_2023+regime_post_2024+near_2022_trade_break,74,0.24405403020229588,0.1377491281994937,-264.65367613313344,-241.61302520109174,dq_es,-0.296726657769166,0.30195465802923344,-0.9826861413756987,0.32576193354918215
shares,baseline_2018,504,63,0.025,full,future_es,dq_es+dr_es_concentration+current_es+current_rv_ann+current_hill_alpha+n_assets+regime_covid+regime_2022_2023+regime_post_2024+near_2022_trade_break,74,0.24405403020229588,0.1377491281994937,-264.65367613313344,-241.61302520109174,dr_es_concentration,0.12558936574797655,0.22770719089694533,0.5515388655636053,0.5812643315598454
shares,baseline_2018,504,63,0.025,full,future_es,dq_es+dr_es_concentration+current_es+current_rv_ann+current_hill_alpha+n_assets+regime_covid+regime_2022_2023+regime_post_2024+near_2022_trade_break,74,0.24405403020229588,0.1377491281994937,-264.65367613313344,-241.61302520109174,current_es,1.006276963841101,2.575720313614374,0.39067788475412735,0.6960353477011533
shares,baseline_2018,504,63,0.025,full,future_es,dq_es+dr_es_concentration+current_es+current_rv_ann+current_hill_alpha+n_assets+regime_covid+regime_2022_2023+regime_post_2024+near_2022_trade_break,74,0.24405403020229588,0.1377491281994937,-264.65367613313344,-241.61302520109174,current_rv_ann,-0.3368069191253401,0.36073847789160646,-0.933659533892425,0.3504795450731335
shares,baseline_2018,504,63,0.025,full,future_es,dq_es+dr_es_concentration+current_es+current_rv_ann+current_hill_alpha+n_assets+regime_covid+regime_2022_2023+regime_post_2024+near_2022_trade_break,74,0.24405403020229588,0.1377491281994937,-264.65367613313344,-241.61302520109174,current_hill_alpha,-0.010643536237454098,0.00694617895389714,-1.5322864999731347,0.12545175101087389
shares,baseline_2018,504,63,0.025,full,future_es,dq_es+dr_es_concentration+current_es+current_rv_ann+current_hill_alpha+n_assets+regime_covid+regime_2022_2023+regime_post_2024+near_2022_trade_break,74,0.24405403020229588,0.1377491281994937,-264.65367613313344,-241.61302520109174,n_assets,0.0013679794734706807,0.0007137026123540507,1.9167359762893217,0.05527148229544748
