market,period,window,horizon,tail_prob,x,y,n,pearson,spearman,spearman_p
bonds,baseline_2018,252,21,0.025,current_es,n_assets,88,0.0669003976931872,-0.04108528415164138,0.7038979662310729
bonds,baseline_2018,252,21,0.025,current_es,future_es,88,0.058883304597275886,0.3154436089487577,0.0027566932644060094
bonds,baseline_2018,252,21,0.025,current_es,future_var,88,0.05977197701502892,0.2981499764746916,0.0047818386698117825
bonds,baseline_2018,252,21,0.025,current_es,future_rv_ann,88,0.1361715885666812,0.3071359699151131,0.0036062415671464488
bonds,baseline_2018,252,21,0.025,current_es,future_mdd,88,0.04469540421399585,0.19111093696378822,0.07448470165533091
bonds,baseline_2018,252,21,0.025,current_es,future_tail_event,88,-0.05551728340420728,-0.06798183644330019,0.5291288019767597
bonds,baseline_2018,252,21,0.025,current_rv_ann,current_hill_alpha,88,-0.163523524496628,0.025342660394180296,0.8146949096887455
bonds,baseline_2018,252,21,0.025,current_rv_ann,n_assets,88,0.03391109019655762,-0.007490899111387455,0.9447770371869978
bonds,baseline_2018,252,21,0.025,current_rv_ann,future_es,88,0.029320993895694848,0.2426473178119827,0.022735911801369933
bonds,baseline_2018,252,21,0.025,current_rv_ann,future_var,88,0.026533468815042247,0.22692050297629532,0.033496163697496216
bonds,baseline_2018,252,21,0.025,current_rv_ann,future_rv_ann,88,0.0891922884938968,0.23146419640026772,0.030019044190949123
bonds,baseline_2018,252,21,0.025,current_rv_ann,future_mdd,88,0.0005229048720243999,0.10668873938924307,0.3224937711803467
bonds,baseline_2018,252,21,0.025,current_rv_ann,future_tail_event,88,-0.09711089321162411,-0.14631462368014037,0.17374745209881393
bonds,baseline_2018,252,21,0.025,current_hill_alpha,n_assets,88,-0.033114141055372505,-0.1465999841406197,0.17290059051032544
bonds,baseline_2018,252,21,0.025,current_hill_alpha,future_es,88,-0.03660312279780466,-0.012059124810438937,0.9112110098845291
bonds,baseline_2018,252,21,0.025,current_hill_alpha,future_var,88,-0.05547633011878169,-0.023413552772934037,0.8285763514552775
bonds,baseline_2018,252,21,0.025,current_hill_alpha,future_rv_ann,88,-0.09587619750662303,-0.02771220354539145,0.7977225176091233
bonds,baseline_2018,252,21,0.025,current_hill_alpha,future_mdd,88,-0.11141597542829729,-0.09833163641996336,0.36205579867539317
bonds,baseline_2018,252,21,0.025,current_hill_alpha,future_tail_event,88,-0.1612367050226891,-0.21285116611543534,0.04647538925301765
bonds,baseline_2018,252,21,0.025,n_assets,future_es,88,0.02077744861130096,-0.06248922678913119,0.5630042415281047
bonds,baseline_2018,252,21,0.025,n_assets,future_var,88,0.03274625713333943,-0.029768393862842656,0.7830700325119394
bonds,baseline_2018,252,21,0.025,n_assets,future_rv_ann,88,0.032526584565763204,-0.09384364163646955,0.3844832186780194
bonds,baseline_2018,252,21,0.025,n_assets,future_mdd,88,0.049009774040975944,0.0022692300239707925,0.9832592833965343
bonds,baseline_2018,252,21,0.025,n_assets,future_tail_event,88,0.038350206303619815,0.01786674028663039,0.8687695740345559
bonds,baseline_2018,252,21,0.025,future_es,future_var,88,0.9820893078134434,0.9901905533443699,2.696470740581162e-75
bonds,baseline_2018,252,21,0.025,future_es,future_rv_ann,88,0.9194846037768266,0.8748547074777219,8.249430746156904e-29
bonds,baseline_2018,252,21,0.025,future_es,future_mdd,88,0.880994419203239,0.8624740234581384,3.634312288728913e-27
bonds,baseline_2018,252,21,0.025,future_es,future_tail_event,88,0.5359826047348335,0.6462642530685521,1.04486438602602e-11
bonds,baseline_2018,252,21,0.025,future_var,future_rv_ann,88,0.9470895439464102,0.875030819625938,7.794613286095914e-29
bonds,baseline_2018,252,21,0.025,future_var,future_mdd,88,0.9214277673427889,0.8893311260610758,5.720225256503617e-31
bonds,baseline_2018,252,21,0.025,future_var,future_tail_event,88,0.5743237537553602,0.6541999614715428,4.787518958104786e-12
