market,period,window,horizon,tail_prob,dependent,spec_name,param,coef,t_hac,pvalue_hac,r2,n_obs
bonds,baseline_2018,252,21,0.025,future_mdd,full,dq_es,0.02058522380138858,0.4129288618136362,0.6796587344858813,0.07670349151584965,88
bonds,baseline_2018,252,21,0.025,future_mdd,full,dr_es_concentration,-0.03980582584889462,-0.5098392167971617,0.6101641085133097,0.07670349151584965,88
bonds,baseline_2018,252,21,0.025,future_tail_event,dq_only,dq_es,0.3795009308626276,1.1521025314102595,0.2492789430461273,0.01746793872554453,88
bonds,baseline_2018,252,21,0.025,future_tail_event,dr_only,dr_es_concentration,0.3946012449288194,0.5292854742578212,0.5966074305859765,0.00401475117589245,88
bonds,baseline_2018,252,21,0.025,future_tail_event,dq_dr,dq_es,0.9749766935095855,1.74076394253233,0.08172496478113754,0.02995106878959486,88
bonds,baseline_2018,252,21,0.025,future_tail_event,dq_dr,dr_es_concentration,-1.4670298225332996,-1.188813082515456,0.23451322877890124,0.02995106878959486,88
bonds,baseline_2018,252,21,0.025,future_tail_event,dq_dr_current_es,dq_es,0.9873111155432923,1.739472005465487,0.08195177224481896,0.04194374571884252,88
bonds,baseline_2018,252,21,0.025,future_tail_event,dq_dr_current_es,dr_es_concentration,-1.0537967588435677,-0.8028853830688811,0.42204098524230127,0.04194374571884252,88
bonds,baseline_2018,252,21,0.025,future_tail_event,full,dq_es,1.9772024507735664,2.2923385121841435,0.02188611714103268,0.12612488067147876,88
bonds,baseline_2018,252,21,0.025,future_tail_event,full,dr_es_concentration,-2.728443505199409,-1.676642314207624,0.09361244711746776,0.12612488067147876,88
bonds,baseline_2018,252,21,0.05,future_es,dq_only,dq_es,-0.002708610194974817,-0.4352809608742033,0.6633585028115114,0.002185356004226202,88
bonds,baseline_2018,252,21,0.05,future_es,dr_only,dr_es_concentration,0.0025427257383546582,0.13080442809303247,0.8959300199849878,0.00024010027358289943,88
bonds,baseline_2018,252,21,0.05,future_es,dq_dr,dq_es,-0.009728403162480213,-1.4659241983113853,0.14266893874767264,0.01018236911478032,88
bonds,baseline_2018,252,21,0.05,future_es,dq_dr,dr_es_concentration,0.024710440861019346,0.9942905647955477,0.32008142784311866,0.01018236911478032,88
bonds,baseline_2018,252,21,0.05,future_es,dq_dr_current_es,dq_es,-0.007139059916543855,-0.5748118105245342,0.5654185782883236,0.011077792897748462,88
bonds,baseline_2018,252,21,0.05,future_es,dq_dr_current_es,dr_es_concentration,0.013292598218365197,0.23379060498129925,0.8151475436188282,0.011077792897748462,88
bonds,baseline_2018,252,21,0.05,future_es,full,dq_es,0.005826847036233322,0.32253341051495293,0.747048631013441,0.0743595264852076,88
bonds,baseline_2018,252,21,0.05,future_es,full,dr_es_concentration,-0.054922608970275434,-0.8735916273309949,0.3823406874655221,0.0743595264852076,88
bonds,baseline_2018,252,21,0.05,future_var,dq_only,dq_es,-0.003641784809260019,-1.2436801877630468,0.2136172905457966,0.01403053742704996,88
bonds,baseline_2018,252,21,0.05,future_var,dr_only,dr_es_concentration,-0.006498080774257991,-0.6777208015997709,0.49794873467303735,0.005569040756045918,88
bonds,baseline_2018,252,21,0.05,future_var,dq_dr,dq_es,-0.005091947865954055,-1.0666309518745483,0.28613851798618417,0.015242612286317181,88
bonds,baseline_2018,252,21,0.05,future_var,dq_dr,dr_es_concentration,0.0051047329482720154,0.31833194946701915,0.7502331516448787,0.015242612286317181,88
bonds,baseline_2018,252,21,0.05,future_var,dq_dr_current_es,dq_es,0.001170298270037522,0.15050748195759792,0.8803642482291598,0.033843180494687486,88
bonds,baseline_2018,252,21,0.05,future_var,dq_dr_current_es,dr_es_concentration,-0.02250896449509815,-0.6829568012266953,0.4946341399250024,0.033843180494687486,88
bonds,baseline_2018,252,21,0.05,future_var,full,dq_es,0.016810616803250265,1.5727858888228774,0.11576840418337125,0.21020271185385064,88
bonds,baseline_2018,252,21,0.05,future_var,full,dr_es_concentration,-0.08186622839963567,-2.0405918710195685,0.04129141085274354,0.21020271185385064,88
bonds,baseline_2018,252,21,0.05,future_rv_ann,dq_only,dq_es,-0.009975777856163572,-0.19418156877400125,0.8460337141768497,0.0007209114752547707,88
bonds,baseline_2018,252,21,0.05,future_rv_ann,dr_only,dr_es_concentration,0.04577613220032226,0.28137759555145014,0.77842080039221,0.0018924788186561736,88
bonds,baseline_2018,252,21,0.05,future_rv_ann,dq_dr,dq_es,-0.06515923634555836,-1.4049804883487294,0.1600270803820556,0.012739577094216692,88
bonds,baseline_2018,252,21,0.05,future_rv_ann,dq_dr,dr_es_concentration,0.1942518239242727,0.9943317035152982,0.3200614058545911,0.012739577094216692,88
bonds,baseline_2018,252,21,0.05,future_rv_ann,dq_dr_current_es,dq_es,-0.001368417233288106,-0.016605895899068707,0.9867510209603869,0.025956335601002856,88
bonds,baseline_2018,252,21,0.05,future_rv_ann,dq_dr_current_es,dr_es_concentration,-0.08703708430099745,-0.24017076578670465,0.8101978760053563,0.025956335601002856,88
