secid,n_obs,n_days,date_min,date_max,zero_share,abs_q99,abs_max,ann_vol,es_975,hill_alpha,period_days,coverage,passes_basic,prefix_preferred,selected,period,market
RU000A10B8P3,280,280,2025-04-08,2026-05-15,0.0,0.006832274757583614,0.00944879706036718,0.03474048971464811,0.0056501689910619995,2.3525005212772925,2119,0.13213780084945728,False,True,False,baseline_2018,bonds
RU000A10B8R9,280,280,2025-04-08,2026-05-15,0.0,0.021419015506392827,0.0396573892437031,0.09488870545249423,0.018618226242831094,1.7932753309740987,2119,0.13213780084945728,False,True,False,baseline_2018,bonds
RU000A1093L2,279,279,2025-04-09,2026-05-15,0.0,0.0017597195773368362,0.0025987100735716,0.006685705483703664,-0.0003846537978720257,,2119,0.1316658801321378,False,True,False,baseline_2018,bonds
RU000A10B8D9,279,279,2025-04-09,2026-05-15,0.0,0.007018604628213747,0.0110441988531563,0.03577047226411407,0.00533624486926929,2.756833369265166,2119,0.1316658801321378,False,True,False,baseline_2018,bonds
RU000A10B8X7,279,279,2025-04-09,2026-05-15,0.0,0.01080109101559001,0.0135161910178676,0.056604367391078964,0.009007701372893568,2.5764475077232043,2119,0.1316658801321378,False,True,False,baseline_2018,bonds
RU000A10B933,279,279,2025-04-09,2026-05-15,0.0,0.011694801347846305,0.0151090933779996,0.06577695527433877,0.008001426506964848,6.42841546047568,2119,0.1316658801321378,False,True,False,baseline_2018,bonds
RU000A10B925,279,279,2025-04-09,2026-05-15,0.0035842293906810036,0.01065727661795249,0.0157286337286726,0.05272092311130323,0.008364823469240928,2.442477691516887,2119,0.1316658801321378,False,True,False,baseline_2018,bonds
RU000A10B9Q9,278,278,2025-04-10,2026-05-15,0.007194244604316547,0.01825341950693396,0.0245618915894187,0.09128988218170335,0.012576318491294,3.126357965632635,2119,0.13119395941481832,False,True,False,baseline_2018,bonds
RU000A10BB75,277,277,2025-04-11,2026-05-15,0.0,0.11675624760971925,0.332112905750626,0.5413424931029094,0.12617605891440695,1.0666296860164592,2119,0.13072203869749882,False,True,False,baseline_2018,bonds
RU000A10BB83,277,277,2025-04-11,2026-05-15,0.0,0.35157612647603775,0.508161788964692,0.9372351977761,0.33653019981366156,0.4980810927409208,2119,0.13072203869749882,False,True,False,baseline_2018,bonds
RU000A10BBD8,276,276,2025-04-14,2026-05-15,0.0,0.008183286209512792,0.01194277161176,0.043967337107475545,0.007493101334036286,2.5032437229561264,2119,0.13025011798017933,False,True,False,baseline_2018,bonds
RU000A10BBE6,276,276,2025-04-14,2026-05-15,0.0,0.018249689256949825,0.0298798719959656,0.08136539768398118,0.012190869632137868,2.5831079995198647,2119,0.13025011798017933,False,True,False,baseline_2018,bonds
RU000A10BBG1,276,276,2025-04-14,2026-05-15,0.0,0.013919780250970926,0.0182697762296854,0.06458917632434685,0.010680019284221095,3.856346068084697,2119,0.13025011798017933,False,True,False,baseline_2018,bonds
RU000A10BAP4,276,276,2025-04-14,2026-05-15,0.018115942028985508,0.014198285400524775,0.0165530055716761,0.07306361594857534,0.01127098267007883,3.214664474941239,2119,0.13025011798017933,False,True,False,baseline_2018,bonds
RU000A1094P1,276,276,2025-04-14,2026-05-15,0.8876811594202898,0.33080917216102873,0.360330463749762,0.9180017922642376,0.2086857182081267,,2119,0.13025011798017933,False,True,False,baseline_2018,bonds
RU000A10BBW8,274,274,2025-04-16,2026-05-15,0.0,0.4393341409135523,0.472623526077948,1.5165761763300922,0.4388004275494765,,2119,0.12930627654554036,False,True,False,baseline_2018,bonds
RU000A10BFG2,272,272,2025-04-18,2026-05-15,0.0,0.009576828488179529,0.0141979537768716,0.047095075789371284,0.007433398362995987,2.1983940766499424,2119,0.12836243511090137,False,True,False,baseline_2018,bonds
RU000A10BFK4,271,271,2025-04-21,2026-05-15,0.0,0.028358545594048348,0.0447549688921792,0.14539491868002152,0.025882300162478517,2.7487727321449174,2119,0.12789051439358187,False,True,False,baseline_2018,bonds
RU000A10BFL2,271,271,2025-04-21,2026-05-15,0.0,0.04185564746088712,0.0930646152372275,0.16299768243573376,0.03425852568950373,1.9562433688530838,2119,0.12789051439358187,False,True,False,baseline_2018,bonds
RU000A10BFM0,271,271,2025-04-21,2026-05-15,0.0,0.38302909459766793,0.394372945946044,1.3370313697290799,0.3818994392774759,,2119,0.12789051439358187,False,True,False,baseline_2018,bonds
RU000A10BFJ6,271,271,2025-04-21,2026-05-15,0.01845018450184502,0.014198183191571718,0.0168909203032659,0.08166495436015621,0.012018160546582422,3.9337172255818094,2119,0.12789051439358187,False,True,False,baseline_2018,bonds
RU000A10BFP3,270,270,2025-04-22,2026-05-15,0.0,0.0212357149805031,0.0691259707023745,0.12355745978771698,0.024727264469485245,1.937486138786058,2119,0.12741859367626238,False,True,False,baseline_2018,bonds
RU000A10BF48,270,270,2025-04-22,2026-05-15,0.007407407407407408,0.0037795568169385436,0.00409496989135746,0.016279124419850747,0.00166706199842263,,2119,0.12741859367626238,False,True,False,baseline_2018,bonds
RU000A10BFZ2,269,269,2025-04-23,2026-05-15,0.0,0.014036450884217842,0.0158951916023746,0.06057335069786108,0.010382532157966565,2.7582857893394794,2119,0.1269466729589429,False,True,False,baseline_2018,bonds
RU000A10BG13,269,269,2025-04-23,2026-05-15,0.0,0.009988813182905983,0.0174755318034521,0.05426975916481366,0.007989067002165647,3.4732641183850643,2119,0.1269466729589429,False,True,False,baseline_2018,bonds
RU000A10BFX7,269,269,2025-04-23,2026-05-15,0.0037174721189591076,0.038257827866671104,0.0657944684001532,0.15445366939670246,0.035148363222263,1.4437613673722083,2119,0.1269466729589429,False,True,False,baseline_2018,bonds
RU000A10BG05,269,269,2025-04-23,2026-05-15,0.011152416356877323,0.01573812487372865,0.0254317117152723,0.07500151346008684,0.01138959825183807,3.3861542459187413,2119,0.1269466729589429,False,True,False,baseline_2018,bonds
RU000A10BGF2,267,267,2025-04-25,2026-05-15,0.0,0.012215845149316944,0.0185843996821496,0.0522079387382097,0.0078425864549557,2.3769786202560605,2119,0.12600283152430392,False,True,False,baseline_2018,bonds
RU000A10BGH8,267,267,2025-04-25,2026-05-15,0.0,0.3872890900069665,0.434691565778794,1.3429268236512721,0.39460159172773585,,2119,0.12600283152430392,False,True,False,baseline_2018,bonds
RU000A10BGJ4,267,267,2025-04-25,2026-05-15,0.0,0.005270601553185647,0.0100159673110252,0.02753093493904534,0.0036211099417957034,1.7868123263947857,2119,0.12600283152430392,False,True,False,baseline_2018,bonds
RU000A10BGC9,267,267,2025-04-25,2026-05-15,0.011235955056179775,0.015122643258585576,0.0223960640312648,0.0732951895990816,0.010328858013890278,2.663488335887101,2119,0.12600283152430392,False,True,False,baseline_2018,bonds
RU000A10BGU1,266,266,2025-04-28,2026-05-15,0.0,0.012011697378230808,0.0285602263928211,0.06609095321881985,0.011571410434686081,1.9282630681042876,2119,0.12553091080698442,False,True,False,baseline_2018,bonds
RU000A10BGW7,266,266,2025-04-28,2026-05-15,0.0,0.0700834310511545,0.0815952610059802,0.328314196531098,0.06380424675269393,4.493005719251041,2119,0.12553091080698442,False,True,False,baseline_2018,bonds
RU000A10BGY3,266,266,2025-04-28,2026-05-15,0.0,0.007130407406008428,0.0122433696939725,0.038263265962339525,0.004232257474940071,5.356570214847865,2119,0.12553091080698442,False,True,False,baseline_2018,bonds
RU000A107VZ2,265,265,2025-04-29,2026-05-15,0.8,0.30451799321036926,0.414969492477865,0.7938724480802644,0.1780392523628414,,2119,0.12505899008966492,False,True,False,baseline_2018,bonds
RU000A10BHX3,264,264,2025-04-30,2026-05-15,0.007575757575757576,0.014965523547786271,0.0330721797686264,0.06990834755772213,0.009599114735723556,3.8418090017292297,2119,0.12458706937234544,False,True,False,baseline_2018,bonds
RU000A10BJ85,263,263,2025-05-02,2026-05-15,0.0,0.00841378889816823,0.0111720964454845,0.03985375853104556,0.006237848527956274,2.430606636895951,2119,0.12411514865502596,False,True,False,baseline_2018,bonds
RU000A10BJL4,260,260,2025-05-07,2026-05-15,0.007692307692307693,0.007191280397701401,0.00977624969885108,0.03796871690481093,0.006158568719392472,3.2724746431030973,2119,0.12269938650306748,False,True,False,baseline_2018,bonds
RU000A10BK09,259,259,2025-05-08,2026-05-15,0.0,0.004790905041807518,0.0074818110094811,0.021782245537262743,0.0027678903451213662,1.975411754978115,2119,0.12222746578574799,False,True,False,baseline_2018,bonds
RU000A10BK17,259,259,2025-05-08,2026-05-15,0.0,0.012357766811769417,0.016929199340182,0.0705163522052572,0.008657417725200995,5.116368946035609,2119,0.12222746578574799,False,True,False,baseline_2018,bonds
RU000A10BLG0,253,253,2025-05-19,2026-05-15,0.0,0.12616233044012057,0.134222070065667,0.4601764024851823,0.12617207133508143,14.89393561795001,2119,0.11939594148183105,False,True,False,baseline_2018,bonds
RU000A10BM56,249,249,2025-05-23,2026-05-15,0.0,0.013395695794816843,0.0153531921452022,0.06948554022228433,0.010439552173476545,5.3356722897492626,2119,0.1175082586125531,False,True,False,baseline_2018,bonds
RU000A10BA35,249,249,2025-05-23,2026-05-15,0.8032128514056225,0.1328900492824883,0.160637358036968,0.37906112200972686,0.09231835114556741,,2119,0.1175082586125531,False,True,False,baseline_2018,bonds
