market,period,window,horizon,tail_prob,variable,aux_r2,vif
bonds,full_2015,504,63,0.05,dr_es_concentration,0.9147095545947688,11.72464272227456
bonds,full_2015,504,63,0.05,current_es,0.9822085922486805,56.2069069506788
bonds,full_2015,504,63,0.05,current_rv_ann,0.9734874714649621,37.718016924656524
bonds,full_2015,504,63,0.05,current_hill_alpha,0.7090761091496325,3.437325126778039
bonds,full_2015,504,63,0.05,n_assets,-inf,0.0
bonds,post_2024,252,21,0.025,dq_es,-inf,0.0
bonds,post_2024,252,21,0.025,dr_es_concentration,0.8129486657737609,5.346125993362321
bonds,post_2024,252,21,0.025,current_es,0.8664849354495052,7.48979153301315
bonds,post_2024,252,21,0.025,current_rv_ann,0.6207568368352974,2.636830659398617
bonds,post_2024,252,21,0.025,current_hill_alpha,0.5981833805917158,2.4886974597332525
bonds,post_2024,252,21,0.025,n_assets,-inf,0.0
bonds,post_2024,252,21,0.05,dq_es,-inf,0.0
bonds,post_2024,252,21,0.05,dr_es_concentration,0.7583124467066514,4.137573434682624
bonds,post_2024,252,21,0.05,current_es,0.8145212593359438,5.3914534701916335
bonds,post_2024,252,21,0.05,current_rv_ann,0.6474141297791587,2.8361885272760716
bonds,post_2024,252,21,0.05,current_hill_alpha,0.5496269883462686,2.2203817149879495
bonds,post_2024,252,21,0.05,n_assets,-inf,0.0
bonds,post_2024,252,63,0.025,dq_es,-2.107142857142857,0.3218390804597701
bonds,post_2024,252,63,0.025,dr_es_concentration,0.8616888975977818,7.23007757607145
bonds,post_2024,252,63,0.025,current_es,0.9015598808266873,10.15845986776397
bonds,post_2024,252,63,0.025,current_rv_ann,0.704112732634016,3.3796655358038654
bonds,post_2024,252,63,0.025,current_hill_alpha,0.6065557719979289,2.5416562979664197
bonds,post_2024,252,63,0.025,n_assets,-inf,0.0
bonds,post_2024,252,63,0.05,dq_es,-30.482142857142858,0.03176403857061826
bonds,post_2024,252,63,0.05,dr_es_concentration,0.8198803444718241,5.551864937047758
bonds,post_2024,252,63,0.05,current_es,0.8736973775486929,7.917491977536142
bonds,post_2024,252,63,0.05,current_rv_ann,0.7328880472342664,3.743748602957631
bonds,post_2024,252,63,0.05,current_hill_alpha,0.5720261094790318,2.3365911382647906
bonds,post_2024,252,63,0.05,n_assets,-inf,0.0
bonds,shock_2022_2023,252,21,0.025,dq_es,-2062.0833333333335,0.0004847113947570384
bonds,shock_2022_2023,252,21,0.025,dr_es_concentration,0.9935917154386242,156.0480016800806
bonds,shock_2022_2023,252,21,0.025,current_es,0.9992110170385877,1267.4544938334327
